Geo Point;Geo Shape;id_fontaines_a_boire;localisation;type;adresse;commune;quartier;territoire;statut
43.553900803412326, 1.4463452760194304;"{""coordinates"": [[1.44634527601943, 43.553900803412326]], ""type"": ""MultiPoint""}";104;ZONE VERTE DE PECH DAVID;BAYARD;Chemin des Côtes de Pech David;Toulouse;13;EST;Ouverte
43.560285881079636, 1.3945806162970407;"{""coordinates"": [[1.394580616297041, 43.560285881079636]], ""type"": ""MultiPoint""}";433;Stade canton laouzetto;PRESTO;RUE DE LA TOURRASSE;Toulouse;17;SUD;Ouverte
43.596398198004266, 1.4518993332903058;"{""coordinates"": [[1.451899333290306, 43.596398198004266]], ""type"": ""MultiPoint""}";349;JARDIN GRAND ROND;WALLACE;SQUARE BOULINGRIN;Toulouse;3;CENTRE;Fermée pour maintenance
43.60002038542753, 1.4330828852308066;"{""coordinates"": [[1.433082885230807, 43.60002038542753]], ""type"": ""MultiPoint""}";555;sur la place;AUTRE;ALL DES PROFESSEURS PONTONNIER;Toulouse;6;CENTRE;Ouverte
43.59186036316199, 1.4298833025725886;"{""coordinates"": [[1.429883302572589, 43.59186036316199]], ""type"": ""MultiPoint""}";292;CIMETIERE RAPAS;BAYARD;68 CHEMIN DE LA NEBOUDE;Toulouse;15;SUD;
43.60815931065041, 1.4634196530485748;"{""coordinates"": [[1.463419653048575, 43.60815931065041]], ""type"": ""MultiPoint""}";420;Cimetière terre cabade;BAYARD;CIMETIERE DE TERRE CABADE;Toulouse;4;CENTRE;
43.62897383557031, 1.4363216841262796;"{""coordinates"": [[1.43632168412628, 43.62897383557031]], ""type"": ""MultiPoint""}";283;JARDIN DE LA SALADE;BAYARD;29 RTE DE LAUNAGUET;Toulouse;8;NORD;Ouverte
43.61001147519242, 1.4648545541706635;"{""coordinates"": [[1.464854554170663, 43.61001147519242]], ""type"": ""MultiPoint""}";426;Cimetière terre cabade;PRESTO;CIMETIERE DE TERRE CABADE;Toulouse;4;CENTRE;
43.60928891402761, 1.4646666812881752;"{""coordinates"": [[1.464666681288175, 43.60928891402761]], ""type"": ""MultiPoint""}";195;CIMETIERE TERRE CABADE;BAYARD;CIMETIERE DE TERRE CABADE;Toulouse;4;CENTRE;
43.594027158808636, 1.4361742240501396;"{""coordinates"": [[1.43617422405014, 43.594027158808636]], ""type"": ""MultiPoint""}";81;PRAIRIE DES FILTRES;BAYARD;COURS DILLON;Toulouse;6;CENTRE;Ouverte
43.565190440308086, 1.444652527467871;"{""coordinates"": [[1.444652527467871, 43.565190440308086]], ""type"": ""MultiPoint""}";119;ZONE VERTE DE PECH DAVID;BAYARD;Chemin des Côtes de Pech David;Toulouse;13;EST;Ouverte
43.57560573553156, 1.4900569729502515;"{""coordinates"": [[1.490056972950252, 43.57560573553156]], ""type"": ""MultiPoint""}";59;PARC MONTAUDRAN;BAYARD;CH DE L EGLISE MONTAUDRAN;Toulouse;12;EST;Ouverte
43.61578946600346, 1.45481479833618;"{""coordinates"": [[1.45481479833618, 43.61578946600346]], ""type"": ""MultiPoint""}";14;JARDIN MICHELET;BAYARD;RUE SAINT LAURENT;Toulouse;4;CENTRE;Ouverte
43.572491758779215, 1.459462626254662;"{""coordinates"": [[1.459462626254662, 43.572491758779215]], ""type"": ""MultiPoint""}";48;PARC DU SACRE COEUR;BAYARD;F109 Avenue de Rangueil;Toulouse;13;EST;Ouverte
43.62278569877004, 1.4785054164185292;"{""coordinates"": [[1.478505416418529, 43.62278569877004]], ""type"": ""MultiPoint""}";545;A proximité du Gymnase des ARGOULETS;BP;2 RUE DES JONQUILLES;Toulouse;10;EST;Ouverte
43.62891441949217, 1.449638935658167;"{""coordinates"": [[1.449638935658167, 43.62891441949217]], ""type"": ""MultiPoint""}";25;PLACE SUD DE BORDEROUGE;PRESTO;PLACE ANTONIN FROIDURE;Toulouse;9;NORD;Ouverte
43.575619069692735, 1.5008687203284097;"{""coordinates"": [[1.50086872032841, 43.575619069692735]], ""type"": ""MultiPoint""}";61;ESPACE NATURE RIBAUTE;BAYARD;2 CHEMIN RIBAUTE;Toulouse;12;EST;Ouverte
43.6362559299589, 1.44245978056397;"{""coordinates"": [[1.44245978056397, 43.6362559299589]], ""type"": ""MultiPoint""}";2;AIRE DE SPORT ERNEST RENAN;BAYARD;IMPASSE VITRY;Toulouse;9;NORD;Ouverte
43.602718603700936, 1.4173304347004343;"{""coordinates"": [[1.417330434700434, 43.602718603700936]], ""type"": ""MultiPoint""}";75;JARDIN BOURRASSOL;BAYARD;IMPASSE POUVILLON;Toulouse;19;OUEST;Ouverte
43.58932651914798, 1.3772949250029833;"{""coordinates"": [[1.377294925002983, 43.58932651914798]], ""type"": ""MultiPoint""}";70;JARDIN SAUVEGRAIN;BAYARD;PLACE SAUVEGRAIN;Toulouse;18;OUEST;Ouverte
43.617525916891765, 1.4385353626275352;"{""coordinates"": [[1.438535362627535, 43.617525916891765]], ""type"": ""MultiPoint""}";19;JARDIN GIESPER;BAYARD;RUE CONDEAU;Toulouse;8;NORD;Ouverte
43.548452797531574, 1.4527920259323357;"{""coordinates"": [[1.452792025932336, 43.548452797531574]], ""type"": ""MultiPoint""}";121;POUVOURVILLE;PRESTO;CHEMIN LOUIS PLANTADE;Toulouse;13;EST;Ouverte
43.59374858967066, 1.4499323126170813;"{""coordinates"": [[1.449932312617081, 43.59374858967066]], ""type"": ""MultiPoint""}";44;JARDIN DES PLANTES;BAYARD;56 RUE ALFRED DUMERIL_ALLÉE S RAVANE;Toulouse;5;CENTRE;Ouverte
43.61022958044242, 1.4655887580004023;"{""coordinates"": [[1.465588758000402, 43.61022958044242]], ""type"": ""MultiPoint""}";177;CIMETIERE SALONIQUE;BAYARD;CHEMIN DE CAILLIBENS;Toulouse;4;CENTRE;
43.63848380496258, 1.4642769479989752;"{""coordinates"": [[1.464276947998975, 43.63848380496258]], ""type"": ""MultiPoint""}";4;IMPASSE DU CIMETIERE DE CROIX DAURADE;BAYARD;IMP CIMETIERE CROIX DAURADE;Toulouse;9;NORD;Ouverte
43.64194982267543, 1.433540100760461;"{""coordinates"": [[1.433540100760461, 43.64194982267543]], ""type"": ""MultiPoint""}";135;JARDIN DU SEMINAIRE;BAYARD;IMPASSE DU SEMINAIRE;Toulouse;7;NORD;Ouverte
43.63233042292054, 1.4270140880902755;"{""coordinates"": [[1.427014088090276, 43.63233042292054]], ""type"": ""MultiPoint""}";127;JARDIN CERVANTES;BAYARD;RUE CERVANTES;Toulouse;8;NORD;Ouverte
43.55003689301031, 1.38397848236644;"{""coordinates"": [[1.38397848236644, 43.55003689301031]], ""type"": ""MultiPoint""}";108;PARC TIBAOUS;BAYARD;RUE ALBERT CAROVIS;Toulouse;14;SUD;Ouverte
43.59061382983764, 1.4159056956092302;"{""coordinates"": [[1.41590569560923, 43.59061382983764]], ""type"": ""MultiPoint""}";87;JARDIN DU PECH;BAYARD;ROUTE DE SAINT SIMON;Toulouse;16;SUD;Ouverte
43.57392965778942, 1.4016957187424945;"{""coordinates"": [[1.401695718742495, 43.57392965778942]], ""type"": ""MultiPoint""}";116;PARC RAYMOND MAURY;PRESTO;Rue Daniel Faucher;Toulouse;17;SUD;Ouverte
43.642328961785665, 1.4472951886062162;"{""coordinates"": [[1.447295188606216, 43.642328961785665]], ""type"": ""MultiPoint""}";265;SENTE OLYMPE DE GOUGE;BAYARD;RUE EDMOND ROSTAND;Toulouse;9;NORD;Ouverte
43.61111957182108, 1.4391585852995106;"{""coordinates"": [[1.439158585299511, 43.61111957182108]], ""type"": ""MultiPoint""}";359;PLACE ARNAUD BERNARD;BAYARD;RUE ESCOUSSIERES A BERNARD;Toulouse;1;CENTRE;Ouverte
43.59786826918042, 1.4243176692922328;"{""coordinates"": [[1.424317669292233, 43.59786826918042]], ""type"": ""MultiPoint""}";84;JARDIN RUE ADOLPHE COLL;BAYARD;47 RUE ADOLPHE COLL;Toulouse;6;CENTRE;Ouverte
43.56707818653732, 1.4009907518313836;"{""coordinates"": [[1.400990751831384, 43.56707818653732]], ""type"": ""MultiPoint""}";98;MEDIATHEQUE GRAND M;BAYARD;AVENUE DE REYNERIE;Toulouse;17;SUD;Ouverte
43.569315806646316, 1.3988601226988862;"{""coordinates"": [[1.398860122698886, 43.569315806646316]], ""type"": ""MultiPoint""}";354;BOULOUDROME REYNERIE;SANTA-COLE;CHEMIN DE LESTANG;Toulouse;17;SUD;Ouverte
43.564224347535735, 1.3479084527696588;"{""coordinates"": [[1.347908452769659, 43.564224347535735]], ""type"": ""MultiPoint""}";260;LA RAMEE ENTREE PISCINE;BAYARD;LA RAMEE;Tournefeuille;;SUD;
43.59095432754093, 1.4258315906824395;"{""coordinates"": [[1.425831590682439, 43.59095432754093]], ""type"": ""MultiPoint""}";289;CIMETIERE RAPAS;BAYARD;61 CHEMIN DE LA NEBOUDE;Toulouse;15;SUD;
43.59122544033241, 1.4302689732027376;"{""coordinates"": [[1.430268973202738, 43.59122544033241]], ""type"": ""MultiPoint""}";295;CIMETIERE RAPAS;BAYARD;68 CHEMIN DE LA NEBOUDE;Toulouse;15;SUD;
43.64200172606141, 1.4618941929606974;"{""coordinates"": [[1.461894192960697, 43.64200172606141]], ""type"": ""MultiPoint""}";5;JARDIN BOIS DAURADE;BAYARD;RUE HENRI EBELOT;Toulouse;9;NORD;Ouverte
43.62214608099948, 1.4384939705383528;"{""coordinates"": [[1.438493970538353, 43.62214608099948]], ""type"": ""MultiPoint""}";20;JARDIN RUE DES ANGES;BAYARD;RUE DES ANGES;Toulouse;8;NORD;Ouverte
43.6168503756836, 1.4456962332899048;"{""coordinates"": [[1.445696233289905, 43.6168503756836]], ""type"": ""MultiPoint""}";18;JARDIN ABADIE;BAYARD;9 AVENUE COLLIGNON;Toulouse;8;NORD;Ouverte
43.588398019469, 1.4209502527091622;"{""coordinates"": [[1.420950252709162, 43.588398019469]], ""type"": ""MultiPoint""}";267;PLACE DALQUIER;BAYARD;PL PARFAIT DALQUIER;Toulouse;16;SUD;Ouverte
43.57753287654026, 1.3916519466157544;"{""coordinates"": [[1.391651946615754, 43.57753287654026]], ""type"": ""MultiPoint""}";66;PRADETTES RUE PAYA;BAYARD;RUE JEAN PAYA;Toulouse;18;OUEST;Ouverte
43.59115352474631, 1.4284914160508617;"{""coordinates"": [[1.428491416050862, 43.59115352474631]], ""type"": ""MultiPoint""}";300;CIMETIERE RAPAS;BAYARD;68 CHEMIN DE LA NEBOUDE;Toulouse;15;SUD;
43.57674551131953, 1.4944249699528651;"{""coordinates"": [[1.494424969952865, 43.57674551131953]], ""type"": ""MultiPoint""}";321;CIMETIERE MONTAUDRAN;BAYARD;43 CHEMIN DE L'EGLISE DE MONTAUDRAN;Toulouse;12;EST;
43.60707969766953, 1.4601578125999137;"{""coordinates"": [[1.460157812599914, 43.60707969766953]], ""type"": ""MultiPoint""}";514;Cimetière terre cabade;BAYARD;;Toulouse;;;
43.591236858982164, 1.4305310589092255;"{""coordinates"": [[1.430531058909225, 43.591236858982164]], ""type"": ""MultiPoint""}";301;CIMETIERE RAPAS;BAYARD;68 CHEMIN DE LA NEBOUDE;Toulouse;15;SUD;
43.576748931130545, 1.4939890174559833;"{""coordinates"": [[1.493989017455983, 43.576748931130545]], ""type"": ""MultiPoint""}";324;CIMETIERE MONTAUDRAN;BAYARD;43 CHEMIN DE L'EGLISE DE MONTAUDRAN;Toulouse;12;EST;
43.60690437499127, 1.4595758351803447;"{""coordinates"": [[1.459575835180345, 43.60690437499127]], ""type"": ""MultiPoint""}";396;ANGLE DE RUE DE BORNIER;BAYARD;AVENUE DU CIMETIERE;Toulouse;4;CENTRE;Ouverte
43.592432493280455, 1.4508371009269545;"{""coordinates"": [[1.450837100926955, 43.592432493280455]], ""type"": ""MultiPoint""}";350;JARDIN DES PLANTES;WALLACE;56 RUE ALFRED DUMERIL_ALLÉE S RAVANE;Toulouse;5;CENTRE;Fermée pour maintenance
43.64146559835328, 1.441896405192452;"{""coordinates"": [[1.441896405192452, 43.64146559835328]], ""type"": ""MultiPoint""}";551;Aire de jeux;IDEO;RUE RAPHAEL;Toulouse;9;NORD;Ouverte
43.60887166783406, 1.4534665104748061;"{""coordinates"": [[1.453466510474806, 43.60887166783406]], ""type"": ""MultiPoint""}";315;RAMBLAS;SANTA-COLE;ALLEES JEAN JAURES;Toulouse;3;CENTRE;Ouverte
43.57675569912524, 1.4935779951737496;"{""coordinates"": [[1.49357799517375, 43.57675569912524]], ""type"": ""MultiPoint""}";327;CIMETIERE MONTAUDRAN;BAYARD;43 CHEMIN DE L'EGLISE DE MONTAUDRAN;Toulouse;12;EST;
43.60838741610369, 1.466225161858082;"{""coordinates"": [[1.466225161858082, 43.60838741610369]], ""type"": ""MultiPoint""}";515;Cimetière terre cabade;BAYARD;;Toulouse;;;
43.606772042539646, 1.4498393984697955;"{""coordinates"": [[1.449839398469795, 43.606772042539646]], ""type"": ""MultiPoint""}";367;PLACE D'ARMENIE;SANTA-COLE;ALLEES JEAN JAURES;Toulouse;3;CENTRE;Ouverte
43.595017248273116, 1.4404912878554743;"{""coordinates"": [[1.440491287855474, 43.595017248273116]], ""type"": ""MultiPoint""}";398;Place Maitre JEAN MAUBEC;SANTA-COLE;QUAI DE TOUNIS;Toulouse;1;CENTRE;Ouverte
43.58471976571198, 1.4238097023784098;"{""coordinates"": [[1.42380970237841, 43.58471976571198]], ""type"": ""MultiPoint""}";115;JARDIN MAURICE BECANNE;BAYARD;JARDIN MAURICE BECANNE;Toulouse;15;SUD;Ouverte
